resolution_id,width_px,height_px,run_id,camera_id,model,height_gt_mm,xy_rmse_low_mm,xy_rmse_native_mm,downsampling_penalty_mm
r480x300,480,300,20260808_151001,ihawk2,Homography,35.0,41.441122137823776,40.58786582084078,0.8532563169829928
r480x300,480,300,20260808_151001,ihawk2,Homography,40.0,47.320353280266346,47.297350063937,0.02300321632934299
r480x300,480,300,20260808_151001,ihawk2,Homography,45.0,56.519339920984784,55.911775968448694,0.6075639525360899
r480x300,480,300,20260808_151001,ihawk2,Homography,50.0,60.9339311618214,60.47738066181976,0.4565505000016401
r480x300,480,300,20260808_151001,ihawk2,PnP,0.0,4.530931954505011,3.3053791519012954,1.2255528026037155
r480x300,480,300,20260808_151001,ihawk2,PnP,5.0,4.031679757718072,2.546731370125551,1.484948387592521
r480x300,480,300,20260808_151001,ihawk2,PnP,10.0,3.345503119118981,2.5414231260102107,0.8040799931087701
r480x300,480,300,20260808_151001,ihawk2,PnP,15.0,4.146544920178125,3.9817484993391554,0.16479642083896984
r480x300,480,300,20260808_151001,ihawk2,PnP,20.0,3.9028589751214624,3.382959654846758,0.5198993202747042
r480x300,480,300,20260808_151001,ihawk2,PnP,25.0,5.967035771610353,2.408319356998828,3.5587164146115247
r480x300,480,300,20260808_151001,ihawk2,PnP,30.0,11.94171242649692,2.011496067847687,9.930216358649233
r480x300,480,300,20260808_151001,ihawk2,PnP,35.0,9.598071033697167,2.8193054121574233,6.778765621539744
r480x300,480,300,20260808_151001,ihawk2,PnP,40.0,8.094012606682128,3.3872065592128195,4.706806047469309
r480x300,480,300,20260808_151001,ihawk2,PnP,45.0,6.43591561949837,3.7975907062726764,2.638324913225694
r480x300,480,300,20260808_151001,ihawk2,PnP,50.0,5.007545500611576,4.867584173948864,0.13996132666271155
r480x300,480,300,20260808_162715,ihawk1,Affine,0.0,12.087042093977699,11.452241062241713,0.6348010317359858
r480x300,480,300,20260808_162715,ihawk1,Affine,15.0,23.945911979816927,23.461557996358362,0.48435398345856484
r480x300,480,300,20260808_162715,ihawk1,Affine,30.0,44.430869723877606,43.66443238529526,0.7664373385823495
r480x300,480,300,20260808_162715,ihawk1,Affine,35.0,50.33223412468083,49.47647884813912,0.8557552765417142
r480x300,480,300,20260808_162715,ihawk1,Homography,0.0,0.7241518139732508,0.10718649271799102,0.6169653212552597
r480x300,480,300,20260808_162715,ihawk1,Homography,15.0,24.490839181597735,22.74921310809723,1.7416260735005054
r480x300,480,300,20260808_162715,ihawk1,Homography,30.0,50.55388744954635,48.07351408859926,2.480373360947091
r480x300,480,300,20260808_162715,ihawk1,Homography,35.0,58.51208784402461,55.524809967973916,2.9872778760506975
r480x300,480,300,20260808_162715,ihawk1,PnP,0.0,12.874696470779414,7.592322946694955,5.282373524084459
r480x300,480,300,20260808_162715,ihawk1,PnP,15.0,12.981900108442513,9.58164020906479,3.4002598993777227
r480x300,480,300,20260808_162715,ihawk1,PnP,30.0,12.263121251183424,10.103404586888713,2.159716664294711
r480x300,480,300,20260808_162715,ihawk1,PnP,35.0,11.094979549946355,9.94378057316459,1.1511989767817656
r480x300,480,300,20260808_162715,ihawk2,Affine,0.0,12.693127715907337,12.670080199339019,0.023047516568318827
r480x300,480,300,20260808_162715,ihawk2,Affine,5.0,14.451308553532911,14.356185067640299,0.09512348589261244
r480x300,480,300,20260808_162715,ihawk2,Affine,10.0,17.045989718280065,16.77013037260831,0.27585934567175485
r480x300,480,300,20260808_162715,ihawk2,Affine,15.0,22.751862450841962,22.542214334543456,0.20964811629850644
