resolution_id,width_px,height_px,scale_x,scale_y,run_id,camera_id,height_gt_mm,frame_index,marker_id,board_position,marker_gt_x_mm,marker_gt_y_mm,qc_excluded,detected,center_u_px,center_v_px,center_u_native_equiv_px,center_v_native_equiv_px,center_drift_from_native_px,corner_rmse_drift_from_native_px,corner0_u_px,corner0_v_px,corner1_u_px,corner1_v_px,corner2_u_px,corner2_v_px,corner3_u_px,corner3_v_px
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,5.0,1,2,BL,-70.0,-113.5,0,1,224.90413284301758,227.5152130126953,300.03884379069007,303.52028401692706,0.19751157382891754,0.6146950900685074,204.5458984375,224.86270141601562,228.54005432128906,213.46693420410156,245.0,229.0,221.53057861328125,242.73121643066406
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,5.0,1,3,BR,70.0,-113.5,0,1,285.48380279541016,197.88830947875977,380.8117370605469,264.0177459716797,1.1548272577337202,1.7406417504636265,266.7945556640625,195.45310974121094,285.100830078125,186.81924438476562,303.5169982910156,200.37725830078125,286.5228271484375,208.90362548828125
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,5.0,1,4,C,0.0,0.0,0,1,221.86180877685547,182.34563827514648,295.982411702474,243.29418436686194,0.10090217170264638,0.253210831123944,205.4838409423828,180.4141387939453,225.0830841064453,173.5030517578125,238.51499938964844,183.56068420410156,218.3653106689453,191.90467834472656
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,5.0,1,0,TL,-70.0,113.5,0,1,110.54153633117676,112.52240180969238,221.58307266235352,225.54480361938477,0.7259402902135618,1.2802392895390577,100.99795532226562,111.43123626708984,113.21060943603516,107.16747283935547,121.15267944335938,113.1720962524414,106.80490112304688,118.31880187988281
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,5.0,1,1,TR,70.0,113.5,0,0,,,,,,,,,,,,,,
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,5.0,1,2,BL,-70.0,-113.5,0,1,149.81159210205078,151.91886138916016,300.12318420410156,304.3377227783203,1.0192299955036643,2.0743068811157435,136.25082397460938,149.72271728515625,151.93679809570312,142.5900421142578,164.05874633789062,154.36268615722656,147.0,161.0
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,5.0,1,3,BR,70.0,-113.5,0,1,190.19983673095703,131.8279094696045,380.89967346191406,264.155818939209,1.3172838349212082,2.0854848116020226,177.77938842773438,130.19798278808594,189.31875610351562,124.39395904541016,202.45645141601562,133.40257263183594,191.2447509765625,139.31712341308594
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,5.0,1,4,C,0.0,0.0,0,1,147.75114822387695,121.29782295227051,296.0022964477539,243.09564590454102,0.27192343762171595,0.7021769079642501,136.8555450439453,120.16291809082031,149.56512451171875,115.2662582397461,158.75613403320312,122.2397689819336,145.82778930664062,127.52234649658203
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,5.0,1,0,TL,-70.0,113.5,0,0,,,,,,,,,,,,,,
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,5.0,1,1,TR,70.0,113.5,0,1,109.87848472595215,75.42588233947754,293.8426259358724,201.96901957194012,0.694986189440724,1.1510904737026895,103.06883239746094,74.96038055419922,111.49238586425781,71.78878784179688,116.35149383544922,75.67594146728516,108.60122680664062,79.2784194946289
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,5.0,1,2,BL,-70.0,-113.5,0,1,112.58244514465332,113.88008308410645,301.0531870524089,304.5135548909505,1.5735077460793314,2.614736432686812,102.1595230102539,112.2798080444336,113.57373046875,107.07066345214844,123.05635833740234,115.32996368408203,111.54016876220703,120.83989715576172
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,5.0,1,3,BR,70.0,-113.5,0,0,,,,,,,,,,,,,,
