resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,frame_index,qc_excluded,n_expected_markers_detected,complete_five_marker_detection,resize_latency_median_ms_excluded_from_pipeline,resize_latency_p95_ms_excluded_from_pipeline,detection_latency_median_ms,detection_latency_p95_ms,detection_timing_repeats
r240x150,240,150,20260808_131913,ihawk2,10.0,3,0,3,0,0.4309,0.43732,1.4208,1.45246,5
r160x100,160,100,20260808_131913,ihawk2,10.0,3,0,2,0,0.1565,0.16684000000000002,1.5187,2.26148,5
r640x400,640,400,20260808_131913,ihawk2,15.0,1,0,5,1,0.0,0.0,4.1814,4.45264,5
r480x300,480,300,20260808_131913,ihawk2,15.0,1,0,5,1,0.597,0.6032799999999999,2.5922,3.80044,5
r320x200,320,200,20260808_131913,ihawk2,15.0,1,0,5,1,0.0347,0.03816,1.6672,1.9100599999999999,5
r240x150,240,150,20260808_131913,ihawk2,15.0,1,0,4,0,0.4175,0.42264,1.3432,1.79468,5
r160x100,160,100,20260808_131913,ihawk2,15.0,1,0,3,0,0.162,0.16693999999999998,1.8643,2.10186,5
r640x400,640,400,20260808_131913,ihawk2,15.0,2,0,5,1,0.0,0.0,4.4463,6.0715200000000005,5
r480x300,480,300,20260808_131913,ihawk2,15.0,2,0,5,1,0.6056,0.6062799999999999,2.5586,2.86622,5
r320x200,320,200,20260808_131913,ihawk2,15.0,2,0,5,1,0.0458,0.047099999999999996,1.6137,1.7208599999999998,5
r240x150,240,150,20260808_131913,ihawk2,15.0,2,0,4,0,0.4155,0.4265,1.2356,1.4691,5
r160x100,160,100,20260808_131913,ihawk2,15.0,2,0,3,0,0.1606,0.17116,1.7123,2.10804,5
r640x400,640,400,20260808_131913,ihawk2,15.0,3,0,5,1,0.0,0.0,4.3332,4.9572199999999995,5
r480x300,480,300,20260808_131913,ihawk2,15.0,3,0,5,1,0.5966,0.60064,2.6013,3.07618,5
r320x200,320,200,20260808_131913,ihawk2,15.0,3,0,5,1,0.0346,0.03646,1.9076,2.1113399999999998,5
r240x150,240,150,20260808_131913,ihawk2,15.0,3,0,4,0,0.4216,0.42529999999999996,1.2309,1.4011,5
r160x100,160,100,20260808_131913,ihawk2,15.0,3,0,3,0,0.1561,0.1672,1.8196,2.03018,5
r640x400,640,400,20260808_131913,ihawk2,20.0,1,0,5,1,0.0,0.0,4.2304,4.97052,5
r480x300,480,300,20260808_131913,ihawk2,20.0,1,0,4,0,0.5971,0.6006,2.5993,2.9781,5
