camera,run_id,height_mm,marker_id,board_position,frame_index,branch_label,matches_acquisition_solution,reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_131913,0.0,4,C,2,B,0,0.7130210938690421,-42.06709580580056,67.13822238235754,635.5709394844536,-2.1941669038583376,0.642675538154985,0.24542136487746033
ihawk1,20260808_131913,0.0,4,C,3,A,1,0.11357228869069207,-42.14781060102131,66.39723977517566,637.0571976313491,1.9920496925921716,-0.6588707726673316,0.43903873089005707
ihawk1,20260808_131913,0.0,4,C,3,B,0,0.7171630365314009,-42.05878437433703,67.16522098449678,635.6339178327403,-2.194960144375557,0.6429364389617911,0.24512008368597388
ihawk1,20260808_131913,5.0,0,TL,1,A,1,0.06332933310534697,-167.73954151878235,37.90034388602037,675.6755821797196,1.9957053853981452,-0.6706114349587572,0.4168875714435847
ihawk1,20260808_131913,5.0,0,TL,1,B,0,0.7758141468416473,-167.28150044360288,38.61270596750901,674.21757056184,-2.091192802745345,0.39105439596186503,-0.1117248500092742
ihawk1,20260808_131913,5.0,0,TL,2,A,1,0.05974304792325276,-167.78895687425515,37.926516415520574,675.9553265042372,1.99574436231526,-0.6711369072075124,0.41596473596918
ihawk1,20260808_131913,5.0,0,TL,2,B,0,0.7745820042521651,-167.33116599705144,38.63870522913752,674.5014700453723,-2.0910043470557116,0.3915399741088015,-0.11263546786806516
ihawk1,20260808_131913,5.0,0,TL,3,A,1,0.06696726372312885,-167.7144400160315,37.89053007121987,675.5878426662701,1.9953970637216998,-0.6709864845387583,0.4166739672896667
ihawk1,20260808_131913,5.0,0,TL,3,B,0,0.7770305194600198,-167.2549487004445,38.60252859714729,674.124985731187,-2.090794179776076,0.39137052843451275,-0.11183132129254895
ihawk1,20260808_131913,5.0,1,TR,1,A,1,0.16112829643380044,-54.18040373276972,-1.8777240407169589,752.7314390378777,2.0051674479315147,-0.6601226965250022,0.37412621939634333
ihawk1,20260808_131913,5.0,1,TR,1,B,0,0.4121146447014655,-54.099028588240714,-1.1672967889232448,752.0745413296144,-2.0060674795381477,0.5690863452123828,0.22962819020195088
ihawk1,20260808_131913,5.0,1,TR,2,A,1,0.15453323881061778,-54.29411124651561,-1.8472207793958786,753.7520259189071,2.0090676395165934,-0.6639573367423569,0.3752948194696092
ihawk1,20260808_131913,5.0,1,TR,2,B,0,0.44197222722522417,-54.20347823316486,-1.133266381886867,752.9634471209413,-2.0098550990513693,0.5730980490425663,0.23046893060529228
ihawk1,20260808_131913,5.0,1,TR,3,A,1,0.1360957092608678,-54.297861867509674,-1.8678268270533132,753.3810351618988,2.0073996937237504,-0.6631581784455224,0.3749729620378475
ihawk1,20260808_131913,5.0,1,TR,3,B,0,0.4273268816447657,-54.21043639928617,-1.1552985032655485,752.6424002891735,-2.008247743688727,0.5720667081137685,0.23001510733151428
