camera,run_id,height_mm,frame_index,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,definition
ihawk2,20260808_141232,15.0,3,-0.009453039987245048,0.008970007458189136,-0.002175324271792605,-0.00010597754496297284,9.59850044931369e-05,-3.084144788730203e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,20.0,1,0.0008708453418461914,-0.0026630378169079376,0.004881981191976047,7.740044955286382e-05,-7.579302379492488e-06,5.375026505625128e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,20.0,2,-0.01916870586791925,-0.0019114534305211498,0.01387731463098891,-7.388681767774111e-05,3.439281416716703e-05,-8.248145948280136e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,20.0,3,0.018297860525994768,0.0045744912474343,-0.018759295822999737,-3.513632757315165e-06,-2.6813512218518244e-05,2.873119440764468e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,25.0,1,-0.01844180373085184,0.0007635557842662149,0.018822743741717878,-4.8718862461422236e-05,1.2564940674174604e-05,-2.113066657262006e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,25.0,2,0.016046906904424653,-0.00048797600281923664,-0.009295046879434641,-9.7665288431695e-05,-8.59630491239377e-05,-8.754270312791215e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,25.0,3,0.002394896826443137,-0.0002755797814346512,-0.009527696862127845,0.00014638415117803876,7.339810848841037e-05,0.0001086733698696843,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,30.0,1,0.5000408400928451,0.1245274091072784,-0.44019614589173944,0.002077659687780773,-0.0006138142852879922,0.0021624104639432337,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,30.0,2,-0.2440480423202013,-0.06496867376179184,0.2125775555549068,-0.000976570128101397,0.0002464973500041661,-0.001021988979100227,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,30.0,3,-0.25599279777268485,-0.05955873534549399,0.227618590336667,-0.0011010895596736943,0.0003673169352821138,-0.0011404214848370856,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,35.0,1,-0.004744390953818144,0.010380481282950273,0.0037867882780199414,-3.437260825393887e-05,5.5025075680011746e-05,5.614993262168239e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,35.0,2,0.035247430276546705,-0.0057240955487395315,-0.022457434791324345,-3.967963887108323e-05,-3.303272675212602e-05,-3.409713977493539e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,35.0,3,-0.030503039322676548,-0.004656385734204497,0.01867064651325607,7.405224672274235e-05,-2.1992347769046893e-05,-2.2052791662060866e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,40.0,1,-0.000671235018701956,-0.010571853490631241,0.00218969909355014,0.0001228340131151416,3.937899849507124e-05,0.00011417473826455333,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,40.0,2,-0.01127931179107537,0.007415569051314059,0.008235272869183559,-0.00010494370375253806,3.617651631553394e-05,-9.383677092094037e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,40.0,3,0.011950546809588219,0.003156284439328658,-0.010424971962714302,-1.7890309994854977e-05,-7.555551517279932e-05,-2.0337967939772708e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,45.0,1,-0.020137087094700214,0.00883720392175394,0.015766146861208336,-9.122967739038415e-05,7.223251926233657e-06,-6.697779521817231e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,45.0,2,-0.00041043607860308934,-0.007943379017110676,-0.001740276168677535,3.237172035835522e-05,2.4046014316449075e-05,-4.6578138869033194e-06,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,45.0,3,0.02054752317341019,-0.0008938249046651119,-0.014025870692580931,5.88579574526057e-05,-3.126926643780282e-05,7.163560958667147e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,50.0,1,-0.023449229434847563,-0.00806443610455329,0.010328213779937218,-6.402166862468451e-05,0.00011279523205137176,-2.2563438071785784e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,50.0,2,-0.009296022496075883,-0.005080874785310456,0.015106418967103349,-7.879313630529807e-07,-8.30085176753098e-05,-3.12097842745182e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,50.0,3,0.03274525193098416,0.013145310889830618,-0.02543463274697977,6.48095999894351e-05,-2.978671503347922e-05,5.3773222107048934e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,0.0,1,-0.005465935348596442,-0.0002786939815281789,0.008329428112841876,-5.13557300922029e-05,3.0383890984643805e-05,1.0728379703838722e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,0.0,2,-0.03357757196252287,-0.0011912791385604714,0.02643138641677101,3.344665301116061e-05,0.00010748254683320643,-4.4935119165005564e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,0.0,3,0.039043507311021984,0.001469973120083093,-0.03476081452968466,1.790907421010602e-05,-0.0001378664354242565,3.4206739853677655e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,5.0,1,-0.002607000110154443,0.003099385470080381,0.006741356286940932,7.409490297012475e-05,-6.467221089100187e-05,6.937091793174516e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,5.0,2,-0.0012727652496150614,0.0009334898518615474,0.0035497897461179225,-0.00010496628418534715,4.692691256576294e-05,-7.419181035163955e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,5.0,3,0.003879765359868345,-0.00403287532193343,-0.010291146032941104,3.087137978955611e-05,1.774529897070889e-05,4.820891407830464e-06,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,10.0,1,-0.02736497246649162,0.0034947634376018533,0.022845690336012636,1.5225466410484405e-07,0.0002203745299710434,6.226907197820547e-06,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,10.0,2,-0.02996039180683857,0.003375852296184901,0.03244025401739944,2.5694015028201504e-05,4.212526570281877e-05,-2.9329763069645333e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,10.0,3,0.05732536427319621,-0.006870615733766855,-0.055285944353491615,-2.5846269634897658e-05,-0.00026249979355211754,2.3102855865249877e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,15.0,1,0.044795809346173006,-0.007497760569046359,-0.04138929521460763,0.00017610108181254048,-0.00020567431791003885,0.00024692988664651934,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,15.0,2,-0.02010259965450961,0.0016422781439780726,0.018033966872957996,-5.6602026712538924e-05,-4.07050142988121e-06,1.932469239036181e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_145501,15.0,3,-0.024693209691751542,0.005855482425075498,0.023355328341599174,-0.00011949905845422474,0.00020974481945732287,-0.00026625457839599446,Log(inv(T_bar_camera_run_height) @ T_frame)
