run_id,camera_id,motion_tier,motion_scenario,translation_mm,rotation_deg,pixel_noise_sigma_px,height_gt_mm,method,n_planned,n_success,success_rate,xy_mean_mm,xy_rmse_mm,xy_median_mm,xy_p95_mm,z_rmse_mm,error_3d_rmse_mm
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,50.0,DynamicHomography,250,250,1.0,85.48380360419658,85.77530978843004,85.26439350395711,96.68541627040621,50.0,99.28445885082489
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,50.0,FrozenExtrinsicPnP,250,250,1.0,18.583126409118336,20.646563565749908,17.274592442855294,33.5788610717452,11.887545600440031,23.824238234980207
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,50.0,FrozenHomography,250,250,1.0,92.2919651090162,96.47708904212514,94.14303748968752,137.03844174640582,50.0,108.66383349598036
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,50.0,OracleMotionAwarePnP,250,250,1.0,6.222244469566136,8.105841405161524,4.583088422723751,15.909703032501755,4.585619429670742,9.31303229025889
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,50.0,RelocalizedPnP,250,250,1.0,6.316897209170803,8.208947595825522,4.557915685398658,16.17080682842468,4.704030082397957,9.461221889751585
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,0.0,DynamicHomography,250,250,1.0,1.6012872837006857,1.8670393883583234,1.4416999758505693,3.4858179119890873,0.0,1.8670393883583234
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,0.0,FrozenExtrinsicPnP,250,250,1.0,24.156883724938094,26.651137979113365,23.533046949081363,44.307247784273486,17.335719811426934,31.793243574099808
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,0.0,FrozenHomography,250,250,1.0,30.643477432680243,33.97175381709267,28.609994596828553,60.40391936848149,0.0,33.97175381709267
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,0.0,OracleMotionAwarePnP,250,250,1.0,13.377089807408945,16.714496178037585,11.627154761637271,32.35130042206049,11.385937747124501,20.224093573434327
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,0.0,RelocalizedPnP,250,250,1.0,13.615533925186563,16.96533771795734,11.821020510448246,33.43651906988163,11.504927010310753,20.49843968200809
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,1.0,10.0,DynamicHomography,250,250,1.0,15.197796842809518,15.362957193114456,15.024722071461554,19.16020310351694,10.0,18.330860692217023
