run_id,height_gt_mm,source,n_markers,xy_rmse_mm,z_rmse_mm,error3d_rmse_mm
20260808_145501,15.0,EqualXYZ,5,5.784543432464117,4.666653646684871,7.432267418505671
20260808_145501,15.0,LOOWeightedXYZ,5,3.932946802995434,4.144126027495669,5.713304743050124
20260808_145501,20.0,ihawk1,5,9.862427541787948,5.820283696579009,11.45177625199169
20260808_145501,20.0,ihawk2,5,3.06068711223995,3.162223206729523,4.400847782894845
20260808_145501,20.0,EqualXYZ,5,5.940506449506793,4.281294676321043,7.322506468561616
20260808_145501,20.0,LOOWeightedXYZ,5,3.865689836420643,3.507922108302824,5.220064695894639
20260808_145501,25.0,ihawk1,5,10.804002811335078,5.908420501852816,12.314053336495297
20260808_145501,25.0,ihawk2,5,5.210851663368924,3.9421397350775793,6.534021789718198
20260808_145501,25.0,EqualXYZ,5,7.309344638770282,4.64983750426618,8.662996471452601
20260808_145501,25.0,LOOWeightedXYZ,5,5.722567749468345,4.122549822567899,7.0528858410447715
20260808_145501,30.0,ihawk1,5,12.388014030236082,7.698129141780539,14.585063726184291
20260808_145501,30.0,ihawk2,5,2.5648334836018396,3.464403043544313,4.310505683411662
20260808_145501,30.0,EqualXYZ,5,7.021426366507348,5.376961271222473,8.843762815256353
20260808_145501,30.0,LOOWeightedXYZ,5,3.940895805657765,4.101865564548173,5.688230028811868
20260808_145501,35.0,ihawk1,5,7.9803081302709105,4.799850766853793,9.312565985706353
20260808_145501,35.0,ihawk2,5,3.284095107432369,3.831363644628218,5.046248909045217
20260808_145501,35.0,EqualXYZ,5,4.3891617223431725,3.8999587105681988,5.871492022392541
20260808_145501,35.0,LOOWeightedXYZ,5,3.1254439178118485,3.744535096703013,4.877493492955959
20260808_145501,40.0,ihawk1,5,9.706351177492648,6.441008559150801,11.649027617782817
20260808_145501,40.0,ihawk2,5,3.258457290632158,3.3839271521667196,4.697712942065003
20260808_145501,40.0,EqualXYZ,5,5.6511000369801,4.8023645717831585,7.4160391792569795
20260808_145501,40.0,LOOWeightedXYZ,5,3.724561099404436,3.879095663189294,5.377707555024797
20260808_145501,45.0,ihawk1,5,10.215372825551956,6.0202135321213275,11.857352695157639
20260808_145501,45.0,ihawk2,5,1.7607642244175794,3.1627623999052696,3.6198558883253047
20260808_145501,45.0,EqualXYZ,5,5.792479310041712,4.4865971256112935,7.32682539199651
20260808_145501,45.0,LOOWeightedXYZ,5,3.1443626466165298,3.6240919556212012,4.798026568938068
20260808_145501,50.0,ihawk1,5,10.662368205660973,7.713571668004508,13.15998797987794
20260808_145501,50.0,ihawk2,5,3.2269212009439383,4.348150020015805,5.414741825208744
20260808_145501,50.0,EqualXYZ,5,6.23725981381058,5.458975318672836,8.288776840695832
20260808_145501,50.0,LOOWeightedXYZ,5,3.969549714175072,4.562902394576414,6.047925528289727
20260808_151001,0.0,ihawk1,5,8.675267084335214,5.128463527757312,10.077767468050004
20260808_151001,0.0,ihawk2,5,3.3095479077509258,3.1721817026148784,4.58430410292589
20260808_151001,0.0,EqualXYZ,5,5.3838851899953495,3.852879722120036,6.620491061256334
20260808_151001,0.0,LOOWeightedXYZ,5,3.8147327737105465,3.333695627358847,5.0661338978251305
20260808_151001,5.0,ihawk1,5,11.306212715399488,7.212297628064252,13.410730145731899
20260808_151001,5.0,ihawk2,5,2.5505233050391047,2.368448153416198,3.4806200288121363
20260808_151001,5.0,EqualXYZ,5,6.260903721503345,4.09440584987041,7.480847189549286
20260808_151001,5.0,LOOWeightedXYZ,5,3.531203750698354,2.6553619716291315,4.4181836912152335
20260808_151001,10.0,ihawk1,5,8.962568553883859,5.996166963252578,10.78339711474401
